Name,Speed,Module,First Word Latency,CAS Latency,Price Per GB,Color,Rating,Review Count,Price_2018_01,Price_2018_02,Price_2018_03,Price_2018_04,Price_2018_05,Price_2018_06,Price_2018_07,Price_2018_08,Price_2018_09,Price_2018_10,Price_2018_11,Price_2018_12,Price_2019_01,Price_2019_02,Price_2019_03,Price_2019_04,Price_2019_05,Price_2019_06,Price_2019_07,Price_2019_08,Price_2019_09,Price_2019_10,Price_2019_11,Price_2019_12,Price_2020_01,Price_2020_02,Price_2020_03,Price_2020_04,Price_2020_05,Price_2020_06,Price_2020_07,Price_2020_08,Price_2020_09,Price_2020_10,Price_2020_11,Price_2020_12,Price_2021_01,Price_2021_02,Price_2021_03,Price_2021_04,Price_2021_05,Price_2021_06,Price_2021_07,Price_2021_08,Price_2021_09,Price_2021_10,Price_2021_11,Price_2021_12,Price_2022_01,Price_2022_02,Price_2022_03,Price_2022_04,Price_2022_05,Price_2022_06,Price_2022_07,Price_2022_08,Price_2022_09,Price_2022_10,Price_2022_11,Price_2022_12,Price_2023_01,Price_2023_02,Price_2023_03,Price_2023_04,Price_2023_05,Price_2023_06,Price_2023_07,Price_2023_08,Price_2023_09,Price_2023_10,Price_2023_11,Price_2023_12,Price_2024_01,Price_2024_02,Price_2024_03,Price_2024_04,Price_2024_05,Price_2024_06,Price_2024_07,Price_2024_08,Price_2024_09,Price_2024_10,Price_2024_11,Price_2024_12,Price_2025_01,Price_2025_02,Price_2025_03,Price_2025_04,Price_2025_05,Price_2025_06,Price_2025_07,Price_2025_08,Price_2025_09,Price_2025_10,Price_2025_11,Price_2025_12,Price_2026_01,Price_2026_02,Price_Current_2026_2_18
Kingston FURY Beast 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$14.68,Black,5.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,174.22","$1,174.22","$1,135.08","$1,095.94","$1,056.80","$1,017.66",$978.52,$939.38,$900.24,$861.10,$821.96,$782.82,$743.68,$704.53,$677.14,$649.74,$622.34,$594.94,$567.54,$540.14,$512.74,$485.35,$457.95,$430.55,$403.15,$375.75,$364.01,$352.27,$340.53,$328.78,$317.04,$305.30,$293.56,$281.81,$270.07,$258.33,$246.59,$234.84,$242.67,$250.50,$258.33,$266.16,$273.99,$399.24,$410.98,$422.72,$434.46,$197.27,$319.39,$469.69,$596.51,$558.93,$558.93
Corsair Vengeance 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$13.38,Black / Gray,4.5,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,069.97","$1,069.97","$1,034.31",$998.64,$962.98,$927.31,$891.65,$855.98,$820.31,$784.65,$748.98,$713.32,$677.65,$641.99,$617.02,$592.05,$567.09,$542.12,$517.15,$492.19,$467.22,$442.26,$417.29,$392.32,$367.36,$342.39,$331.69,$320.99,$310.29,$299.59,$288.89,$278.19,$267.49,$256.79,$246.09,$235.39,$224.69,$214.00,$221.13,$228.26,$235.39,$242.53,$249.66,$363.79,$374.49,$385.19,$395.89,$179.76,$291.03,$427.99,$543.55,$509.31,$509.31
Crucial Pro 32 GB,DDR5-6400,2 x 16GB,11.875 ns,38,$9.16,Black,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$732.48,$732.48,$708.06,$683.64,$659.23,$634.81,$610.40,$585.98,$561.56,$537.15,$512.73,$488.32,$463.90,$439.49,$422.39,$405.30,$388.21,$371.12,$354.03,$336.94,$319.85,$302.76,$285.67,$268.57,$251.48,$234.39,$227.07,$219.74,$212.42,$205.09,$197.77,$190.44,$183.12,$175.79,$168.47,$161.14,$153.82,$146.50,$151.38,$156.26,$161.14,$166.03,$170.91,$249.04,$256.37,$263.69,$271.02,$123.06,$199.23,$292.99,$372.10,$348.66,$323.99
Corsair Vengeance RGB Pro 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$7.81,Black,4.5,385,$176.03,$177.07,$178.11,$179.15,$180.19,$181.24,$182.28,$183.32,$184.36,$185.40,$186.44,$187.48,$156.24,$149.99,$143.74,$137.49,$131.24,$124.99,$118.74,$112.49,$106.24,$99.99,$93.74,$87.49,$76.04,$77.08,$78.12,$79.16,$80.20,$81.24,$82.29,$83.33,$84.37,$85.41,$86.45,$87.49,$89.58,$91.66,$93.74,$95.83,$97.91,$99.99,$102.08,$104.16,$106.24,$108.32,$110.41,$112.49,$109.37,$106.24,$103.12,$99.99,$96.87,$93.74,$90.62,$87.49,$84.37,$81.24,$78.12,$74.99,$72.91,$70.83,$68.74,$66.66,$64.58,$62.49,$60.41,$58.33,$56.25,$54.16,$52.08,$50.00,$51.04,$52.08,$53.12,$54.16,$55.20,$56.25,$57.29,$58.33,$59.37,$60.41,$61.45,$62.49,$64.58,$66.66,$68.74,$70.83,$72.91,$106.24,$109.37,$112.49,$115.62,$52.50,$84.99,$124.99,$182.49,$199.98,$181.24
Kingston FURY Beast RGB 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$11.56,Black,4.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$924.98,$924.98,$894.14,$863.31,$832.48,$801.64,$770.81,$739.98,$709.15,$678.32,$647.48,$616.65,$585.82,$554.99,$533.40,$511.82,$490.24,$468.65,$447.07,$425.49,$403.91,$382.32,$360.74,$339.16,$317.57,$295.99,$286.74,$277.49,$268.24,$258.99,$249.74,$240.49,$231.24,$221.99,$212.74,$203.49,$194.24,$185.00,$191.16,$197.33,$203.49,$209.66,$215.83,$314.49,$323.74,$332.99,$342.24,$155.40,$251.59,$369.99,$469.89,$440.29,$440.29
Patriot Viper Venom 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$10.94,Black / White,4.5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$874.98,$874.98,$845.81,$816.64,$787.48,$758.31,$729.15,$699.98,$670.81,$641.65,$612.48,$583.32,$554.15,$524.99,$504.57,$484.15,$463.74,$443.32,$422.90,$402.49,$382.07,$361.66,$341.24,$320.82,$300.41,$279.99,$271.24,$262.49,$253.74,$244.99,$236.24,$227.49,$218.74,$209.99,$201.24,$192.49,$183.74,$175.00,$180.83,$186.66,$192.49,$198.33,$204.16,$297.49,$306.24,$314.99,$323.74,$147.00,$237.99,$349.99,$444.49,$416.49,$416.49
G.Skill Trident Z5 Neo RGB 64 GB,DDR5-6000,2 x 32GB,10 ns,30,$13.59,Black / Silver,4.5,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,174.97","$2,174.97","$2,102.48","$2,029.98","$1,957.48","$1,884.98","$1,812.48","$1,739.98","$1,667.48","$1,594.98","$1,522.48","$1,449.98","$1,377.48","$1,304.99","$1,254.24","$1,203.49","$1,152.74","$1,101.99","$1,051.24","$1,000.49",$949.74,$898.99,$848.24,$797.49,$746.74,$695.99,$674.24,$652.49,$630.74,$608.99,$587.24,$565.49,$543.74,$521.99,$500.24,$478.49,$456.74,$435.00,$449.49,$463.99,$478.49,$492.99,$507.49,$739.49,$761.24,$782.99,$804.74,$365.40,$591.59,$869.99,"$1,104.89","$1,035.29","$1,035.29"
Corsair Vengeance LPX 16 GB,DDR4-2666,2 x 8GB,12.003 ns,16,$6.06,Black,4.5,4,$136.59,$137.40,$138.21,$139.02,$139.83,$140.64,$141.44,$142.25,$143.06,$143.87,$144.68,$145.48,$121.24,$116.39,$111.54,$106.69,$101.84,$96.99,$92.14,$87.29,$82.44,$77.59,$72.74,$67.89,$59.00,$59.81,$60.62,$61.43,$62.24,$63.04,$63.85,$64.66,$65.47,$66.28,$67.08,$67.89,$69.51,$71.13,$72.74,$74.36,$75.98,$77.59,$79.21,$80.82,$82.44,$84.06,$85.67,$87.29,$84.87,$82.44,$80.02,$77.59,$75.17,$72.74,$70.32,$67.89,$65.47,$63.04,$60.62,$58.19,$56.58,$54.96,$53.34,$51.73,$50.11,$48.49,$46.88,$45.26,$43.65,$42.03,$40.41,$38.80,$39.60,$40.41,$41.22,$42.03,$42.84,$43.65,$44.45,$45.26,$46.07,$46.88,$47.69,$48.49,$50.11,$51.73,$53.34,$54.96,$56.58,$82.44,$84.87,$87.29,$89.72,$40.74,$65.95,$96.99,$141.61,$155.18,$144.99
G.Skill Ripjaws V 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$7.81,Black,4.5,237,$176.03,$177.07,$178.11,$179.15,$180.19,$181.24,$182.28,$183.32,$184.36,$185.40,$186.44,$187.48,$156.24,$149.99,$143.74,$137.49,$131.24,$124.99,$118.74,$112.49,$106.24,$99.99,$93.74,$87.49,$76.04,$77.08,$78.12,$79.16,$80.20,$81.24,$82.29,$83.33,$84.37,$85.41,$86.45,$87.49,$89.58,$91.66,$93.74,$95.83,$97.91,$99.99,$102.08,$104.16,$106.24,$108.32,$110.41,$112.49,$109.37,$106.24,$103.12,$99.99,$96.87,$93.74,$90.62,$87.49,$84.37,$81.24,$78.12,$74.99,$72.91,$70.83,$68.74,$66.66,$64.58,$62.49,$60.41,$58.33,$56.25,$54.16,$52.08,$50.00,$51.04,$52.08,$53.12,$54.16,$55.20,$56.25,$57.29,$58.33,$59.37,$60.41,$61.45,$62.49,$64.58,$66.66,$68.74,$70.83,$72.91,$106.24,$109.37,$112.49,$115.62,$52.50,$84.99,$124.99,$182.49,$199.98,$129.99
Patriot Viper Elite 5 16 GB,DDR5-6000,1 x 16GB,10 ns,30,$10.62,White,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$424.98,$424.98,$410.81,$396.64,$382.48,$368.31,$354.15,$339.98,$325.81,$311.65,$297.48,$283.32,$269.15,$254.99,$245.07,$235.15,$225.24,$215.32,$205.40,$195.49,$185.57,$175.66,$165.74,$155.82,$145.91,$135.99,$131.74,$127.49,$123.24,$118.99,$114.74,$110.49,$106.24,$101.99,$97.74,$93.49,$89.24,$85.00,$87.83,$90.66,$93.49,$96.33,$99.16,$144.49,$148.74,$152.99,$157.24,$71.40,$115.59,$169.99,$215.89,$202.29,$202.29
TEAMGROUP T-Force Delta RGB 16 GB,DDR5-6000,2 x 8GB,12.667 ns,38,$13.75,White,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$549.98,$549.98,$531.64,$513.31,$494.98,$476.64,$458.31,$439.98,$421.65,$403.32,$384.98,$366.65,$348.32,$329.99,$317.15,$304.32,$291.49,$278.65,$265.82,$252.99,$240.16,$227.32,$214.49,$201.66,$188.82,$175.99,$170.49,$164.99,$159.49,$153.99,$148.49,$142.99,$137.49,$131.99,$126.49,$120.99,$115.49,$110.00,$113.66,$117.33,$120.99,$124.66,$128.33,$186.99,$192.49,$197.99,$203.49,$92.40,$149.59,$219.99,$279.39,$261.79,$261.79
TEAMGROUP T-Force Delta RGB 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$14.28,White,4.5,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,142.47","$1,142.47","$1,104.39","$1,066.31","$1,028.23",$990.14,$952.06,$913.98,$875.90,$837.82,$799.73,$761.65,$723.57,$685.49,$658.83,$632.17,$605.51,$578.85,$552.20,$525.54,$498.88,$472.22,$445.57,$418.91,$392.25,$365.59,$354.17,$342.74,$331.32,$319.89,$308.47,$297.04,$285.62,$274.19,$262.77,$251.34,$239.92,$228.50,$236.11,$243.73,$251.34,$258.96,$266.58,$388.44,$399.87,$411.29,$422.72,$191.94,$310.75,$456.99,$580.38,$543.82,$543.82
TEAMGROUP T-Create Expert 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$13.75,Black,4.5,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,099.97","$1,099.97","$1,063.31","$1,026.64",$989.98,$953.31,$916.65,$879.98,$843.31,$806.65,$769.98,$733.32,$696.65,$659.99,$634.32,$608.65,$582.99,$557.32,$531.65,$505.99,$480.32,$454.66,$428.99,$403.32,$377.66,$351.99,$340.99,$329.99,$318.99,$307.99,$296.99,$285.99,$274.99,$263.99,$252.99,$241.99,$230.99,$220.00,$227.33,$234.66,$241.99,$249.33,$256.66,$373.99,$384.99,$395.99,$406.99,$184.80,$299.19,$439.99,$558.79,$523.59,$523.59
TEAMGROUP T-Force Vulcan Z 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$6.56,Black,4.5,118,$147.86,$148.74,$149.61,$150.49,$151.36,$152.24,$153.11,$153.99,$154.86,$155.74,$156.61,$157.48,$131.24,$125.99,$120.74,$115.49,$110.24,$104.99,$99.74,$94.49,$89.24,$83.99,$78.74,$73.49,$63.87,$64.74,$65.62,$66.49,$67.37,$68.24,$69.12,$69.99,$70.87,$71.74,$72.62,$73.49,$75.24,$76.99,$78.74,$80.49,$82.24,$83.99,$85.74,$87.49,$89.24,$90.99,$92.74,$94.49,$91.87,$89.24,$86.62,$83.99,$81.37,$78.74,$76.12,$73.49,$70.87,$68.24,$65.62,$62.99,$61.24,$59.49,$57.74,$55.99,$54.24,$52.49,$50.75,$49.00,$47.25,$45.50,$43.75,$42.00,$42.87,$43.75,$44.62,$45.50,$46.37,$47.25,$48.12,$49.00,$49.87,$50.75,$51.62,$52.49,$54.24,$55.99,$57.74,$59.49,$61.24,$89.24,$91.87,$94.49,$97.12,$44.10,$71.39,$104.99,$153.29,$167.98,$152.24
Crucial Classic 16 GB,DDR5-5600,2 x 8GB,16.429 ns,46,$9.50,Black,5.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$379.98,$379.98,$367.31,$354.64,$341.98,$329.31,$316.65,$303.98,$291.31,$278.65,$265.98,$253.32,$240.65,$227.99,$219.12,$210.25,$201.39,$192.52,$183.65,$174.79,$165.92,$157.06,$148.19,$139.32,$130.46,$121.59,$117.79,$113.99,$110.19,$106.39,$102.59,$98.79,$94.99,$91.19,$87.39,$83.59,$79.79,$76.00,$78.53,$81.06,$83.59,$86.13,$88.66,$129.19,$132.99,$136.79,$140.59,$63.84,$103.35,$151.99,$193.03,$180.87,$180.87
G.Skill Flare X5 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$14.69,Black,4.5,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,174.97","$1,174.97","$1,135.81","$1,096.64","$1,057.48","$1,018.31",$979.15,$939.98,$900.81,$861.65,$822.48,$783.32,$744.15,$704.99,$677.57,$650.15,$622.74,$595.32,$567.90,$540.49,$513.07,$485.66,$458.24,$430.82,$403.41,$375.99,$364.24,$352.49,$340.74,$328.99,$317.24,$305.49,$293.74,$281.99,$270.24,$258.49,$246.74,$235.00,$242.83,$250.66,$258.49,$266.33,$274.16,$399.49,$411.24,$422.99,$434.74,$197.40,$319.59,$469.99,$596.89,$559.29,$449.99
Corsair Vengeance 16 GB,DDR5-5200,2 x 8GB,15.385 ns,40,$13.12,Black,3.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$524.98,$524.98,$507.48,$489.98,$472.48,$454.98,$437.48,$419.98,$402.48,$384.98,$367.48,$349.98,$332.48,$314.99,$302.74,$290.49,$278.24,$265.99,$253.74,$241.49,$229.24,$216.99,$204.74,$192.49,$180.24,$167.99,$162.74,$157.49,$152.24,$146.99,$141.74,$136.49,$131.24,$125.99,$120.74,$115.49,$110.24,$105.00,$108.49,$111.99,$115.49,$118.99,$122.49,$178.49,$183.74,$188.99,$194.24,$88.20,$142.79,$209.99,$266.69,$249.89,$249.89
Crucial Pro Overclocking 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$12.50,White,4.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$999.98,$999.98,$966.64,$933.31,$899.98,$866.64,$833.31,$799.98,$766.65,$733.32,$699.98,$666.65,$633.32,$599.99,$576.65,$553.32,$529.99,$506.65,$483.32,$459.99,$436.66,$413.32,$389.99,$366.66,$343.32,$319.99,$309.99,$299.99,$289.99,$279.99,$269.99,$259.99,$249.99,$239.99,$229.99,$219.99,$209.99,$200.00,$206.66,$213.33,$219.99,$226.66,$233.33,$339.99,$349.99,$359.99,$369.99,$168.00,$271.99,$399.99,$507.99,$475.99,$325.99
G.Skill Ripjaws V 32 GB,DDR4-3200,2 x 16GB,10 ns,16,$7.50,Black,4.5,138,$337.99,$339.99,$341.99,$343.99,$345.99,$347.99,$349.99,$351.99,$353.99,$355.99,$357.99,$359.99,$299.99,$287.99,$275.99,$263.99,$251.99,$239.99,$227.99,$215.99,$203.99,$191.99,$179.99,$167.99,$145.99,$147.99,$149.99,$151.99,$153.99,$155.99,$157.99,$159.99,$161.99,$163.99,$165.99,$167.99,$171.99,$175.99,$179.99,$183.99,$187.99,$191.99,$195.99,$199.99,$203.99,$207.99,$211.99,$215.99,$209.99,$203.99,$197.99,$191.99,$185.99,$179.99,$173.99,$167.99,$161.99,$155.99,$149.99,$143.99,$139.99,$135.99,$131.99,$127.99,$123.99,$120.00,$116.00,$112.00,$108.00,$104.00,$100.00,$96.00,$98.00,$100.00,$102.00,$104.00,$106.00,$108.00,$110.00,$112.00,$114.00,$116.00,$118.00,$120.00,$123.99,$127.99,$131.99,$135.99,$139.99,$203.99,$209.99,$215.99,$221.99,$100.80,$163.19,$239.99,$350.39,$383.98,$347.99
